Drug ID,Drug Name,Generic Name,Drug Class,Indications,Dosage Form,Strength,Route of Administration,Mechanism of Action,Side Effects,Contraindications,Interactions,Warnings and Precautions,Pregnancy Category,Storage Conditions
1,Aspirin,Acetylsalicylic Acid,Analgesic,Headache,Tablet,325 mg,Oral,Inhibits prostaglandin synthesis,Stomach irritation,Allergy to NSAIDs,Anticoagulants: increased bleeding risk,Gastric ulcers: risk of bleeding,Category C,Room temperature
2,Amoxicillin,Amoxicillin,Antibiotic,Bacterial Infections,Capsule,500 mg,Oral,Inhibits bacterial cell wall synthesis,Nausea, Allergic reactions,Penicillin: reduced efficacy,Take with food to reduce stomach upset,Category B,Room temperature
3,Lisinopril,Lisinopril,Antihypertensive,Hypertension,Tablet,10 mg,Oral,Blocks conversion of angiotensin I to angiotensin II,Cough, Kidney problems,Diuretics: increased risk of kidney problems,Monitor kidney function regularly,Category D,Room temperature
4,Albuterol,Albuterol,Bronchodilator,Asthma,Inhaler,100 mcg/inhalation,Inhalation,Stimulates beta-2 adrenergic receptors,Tremor, Rapid heart rate,Beta-blockers: decreased effectiveness,Use as needed for acute asthma symptoms,Category C,Room temperature
5,Omeprazole,Omeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,20 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature
6,Levothyroxine,Levothyroxine,Hormone,Thyroid Disorder,Tablet,50 mcg,Oral,Replaces or supplements thyroid hormone,Dizziness, Heart palpitations,Adrenal insufficiency: monitor carefully,Take on an empty stomach,Category A,Room temperature
7,Simvastatin,Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,20 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature
8,Metformin,Metformin,Oral Antidiabetic,Type 2 Diabetes,Tablet,1000 mg,Oral,Decreases glucose production by the liver,Diarrhea, Lactic acidosis,Kidney problems: avoid in severe impairment,Take with meals,Category B,Room temperature
9,Ibuprofen,Ibuprofen,NSAID,Pain and Inflammation,Tablet,200 mg,Oral,Inhibits prostaglandin synthesis,Upset stomach, GI bleeding,Allergy to NSAIDs,Anticoagulants: increased bleeding risk,Category C,Room temperature
10,Ciprofloxacin,Ciprofloxacin,Fluoroquinolone,Bacterial Infections,Tablet,500 mg,Oral,Inhibits bacterial DNA synthesis,Nausea, Tendon rupture,Antacids: reduced effectiveness,Take 2 hours before or 6 hours after antacids,Category C,Room temperature
11,Alprazolam,Alprazolam,Anxiolytic,Anxiety,Tablet,0.5 mg,Oral,Enhances effects of GABA in the brain,Drowsiness, Addiction history,Benzodiazepines: additive effects,Avoid alcohol,Category D,Room temperature
12,Ranitidine,Ranitidine,H2 Blocker,Gastric Ulcers,Tablet,150 mg,Oral,Reduces stomach acid production,Headache, Constipation,Allergic reactions: avoid,Long-term use: increased risk of fractures,Category B,Room temperature
13,Atorvastatin,Atorvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,40 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature
14,Cephalexin,Cephalexin,Antibiotic,Bacterial Infections,Capsule,250 mg,Oral,Inhibits bacterial cell wall synthesis,Upset stomach, Allergic reactions,Allergy to cephalosporins,Probenecid: decreased excretion,Category B,Room temperature
15,Paracetamol,Paracetamol,Analgesic,Pain and Fever,Tablet,500 mg,Oral,Precise mechanism not fully understood,None at normal doses, Liver damage,Alcohol: increased risk of liver damage,Do not exceed recommended dose,Category A,Room temperature
16,Morphine,Morphine,Analgesic,Severe Pain,Tablet,10 mg,Oral,Binds to opioid receptors in the brain,Respiratory depression, Constipation,Respiratory depression: avoid with respiratory disorders,May cause drowsiness,Category C,Room temperature
17,Risperidone,Risperidone,Antipsychotic,Schizophrenia,Tablet,2 mg,Oral,Blocks dopamine and serotonin receptors,Weight gain, Tardive dyskinesia,Elderly with dementia: increased risk of death,May impair judgment,Category C,Room temperature
18,Sildenafil,Sildenafil,Erectile Dysfunction Agent,Erectile Dysfunction,Tablet,50 mg,Oral,Inhibits phosphodiesterase type 5,Headache, Flushing,Nitrates: severe hypotension risk,Do not take with grapefruit juice,Category B,Room temperature
19,Furosemide,Furosemide,Loop Diuretic,Edema,Tablet,40 mg,Oral,Inhibits sodium and water reabsorption,Dehydration, Electrolyte imbalances,Dehydration: monitor closely,Take in the morning,Category C,Room temperature
20,Esomeprazole,Esomeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,40 mg,Oral,Reduces stomach acid production,Headache, Nausea,Clopidogrel: reduced effectiveness,Take before breakfast,Category B,Room temperature
21,Warfarin,Warfarin,Anticoagulant,Thrombosis,Tablet,5 mg,Oral,Inhibits vitamin K-dependent clotting factors,Bleeding, Skin necrosis,Many drug interactions: monitor closely,Do not change diet drastically,Category X,Room temperature
22,Tramadol,Tramadol,Analgesic,Moderate to Severe Pain,Tablet,100 mg,Oral,Binds to opioid receptors and inhibits serotonin reuptake,Constipation, Dizziness,Seizure risk: avoid in epilepsy,May cause drowsiness,Category C,Room temperature
23,Fluoxetine,Fluoxetine,Selective Serotonin Reuptake Inhibitor,Depression,Capsule,20 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
24,Levofloxacin,Levofloxacin,Fluoroquinolone,Bacterial Infections,Tablet,250 mg,Oral,Inhibits bacterial DNA synthesis,Nausea, Tendon rupture,Antacids: reduced effectiveness,Take 2 hours before or 6 hours after antacids,Category C,Room temperature
25,Lorazepam,Lorazepam,Anxiolytic,Anxiety,Tablet,1 mg,Oral,Enhances effects of GABA in the brain,Drowsiness, Addiction history,Benzodiazepines: additive effects,Avoid alcohol,Category D,Room temperature
26,Losartan,Losartan,Angiotensin II Receptor Blocker,Hypertension,Tablet,50 mg,Oral,Blocks angiotensin II receptors,Cough, Low blood pressure,Potassium supplements: increased potassium levels,Take with or without food,Category D,Room temperature
27,Amphetamine,Amphetamine,Stimulant,Attention Deficit Hyperactivity Disorder,Tablet,10 mg,Oral,Increases release of norepinephrine and dopamine,Insomnia, Increased heart rate,Hypertension: monitor regularly,May impair judgment,Category C,Room temperature
28,Citalopram,Citalopram,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,20 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
29,Metoprolol,Metoprolol,Beta Blocker,Hypertension,Tablet,25 mg,Oral,Blocks beta receptors,Low heart rate, Low blood pressure,Asthma: avoid or use with caution,Do not stop abruptly,Category C,Room temperature
30,Venlafaxine,Venlafaxine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Capsule,75 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
31,Methylphenidate,Methylphenidate,Stimulant,Attention Deficit Hyperactivity Disorder,Tablet,10 mg,Oral,Increases norepinephrine and dopamine release,Insomnia, Increased heart rate,Hypertension: monitor regularly,May impair judgment,Category C,Room temperature
32,Rosuvastatin,Rosuvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,20 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature
33,Bupropion,Bupropion,Atypical Antidepressant,Depression,Tablet,150 mg,Oral,Inhibits reuptake of dopamine and norepinephrine,Insomnia, Weight loss,Seizure threshold: lower risk than other antidepressants,May cause agitation,Category C,Room temperature
34,Ceftriaxone,Ceftriaxone,Cephalosporin,Bacterial Infections,Injection,1 g,Intravenous/Intramuscular,Inhibits bacterial cell wall synthesis,Injection site reactions, Diarrhea,Allergy to cephalosporins,Calcium-containing solutions: precipitates,Category B,Room temperature
35,Fentanyl,Fentanyl,Opioid Analgesic,Severe Pain,Transdermal Patch,100 mcg/hour,Transdermal,Binds to opioid receptors in the brain,Respiratory depression, Constipation,Opioid-naive patients: use with caution,Do not use for mild pain,Category C,Room temperature
36,Hydrochlorothiazide,Hydrochlorothiazide,Thiazide Diuretic,Hypertension,Tablet,25 mg,Oral,Increases urine output,Dehydration, Electrolyte imbalances,Severe renal impairment: avoid,Take with food or milk,Category B,Room temperature
37,Escitalopram,Escitalopram,Selective Serotonin Reuptake Inhibitor,Depression,Capsule,10 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
38,Amlodipine,Amlodipine,Calcium Channel Blocker,Hypertension,Tablet,5 mg,Oral,Blocks calcium channels,Swelling of legs and ankles, Flushing,Severe hypotension: use with caution,Take at the same time each day,Category C,Room temperature
39,Mirtazapine,Mirtazapine,Atypical Antidepressant,Depression,Tablet,30 mg,Oral,Enhances noradrenergic and serotonergic activity,Drowsiness, Increased appetite,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
40,Trazodone,Trazodone,Serotonin Modulator,Depression,Tablet,50 mg,Oral,Enhances serotonin activity,Drowsiness, Dry mouth,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
41,Pravastatin,Pravastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,40 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature
42,Aripiprazole,Aripiprazole,Atypical Antipsychotic,Schizophrenia,Tablet,10 mg,Oral,Partial agonist at dopamine and serotonin receptors,Weight gain, Movement disorders,Elderly with dementia: increased risk of death,May cause drowsiness,Category C,Room temperature
43,Amoxicillin-Clavulanate,Amoxicillin-Clavulanate,Antibiotic,Bacterial Infections,Tablet,875/125 mg,Oral,Inhibits bacterial cell wall synthesis,Diarrhea, Allergic reactions,Allergy to penicillins,Probenecid: increased blood levels,Category B,Room temperature
44,Lithium,Lithium,Mood Stabilizer,Bipolar Disorder,Capsule,300 mg,Oral,Precise mechanism not fully understood,Frequent urination, Tremor,Kidney impairment: monitor closely,Do not change salt intake drastically,Category D,Room temperature
45,Pregabalin,Pregabalin,Anticonvulsant,Neuropathic Pain,Capsule,75 mg,Oral,Binds to calcium channels in nerve cells,Dizziness, Drowsiness,History of substance abuse: use with caution,May cause weight gain,Category C,Room temperature
46,Isosorbide Mononitrate,Isosorbide Mononitrate,Vasodilator,Angina,Tablet,60 mg,Oral,Relaxes blood vessels,Headache, Flushing,Hypotension: use with caution,Avoid alcohol,Category C,Room temperature
47,Ezetimibe,Ezetimibe,Cholesterol Absorption Inhibitor,Hyperlipidemia,Tablet,10 mg,Oral,Inhibits cholesterol absorption from the intestines,Stomach pain, Diarrhea,Simvastatin: increased risk of side effects,Take at the same time each day,Category C,Room temperature
48,Enalapril,Enalapril,Angiotensin-Converting Enzyme Inhibitor,Hypertension,Tablet,20 mg,Oral,Inhibits angiotensin-converting enzyme,Cough, Low blood pressure,Diuretics: increased hypotension risk,Take on an empty stomach,Category D,Room temperature
49,Diazepam,Diazepam,Benzodiazepine,Anxiety,Tablet,5 mg,Oral,Enhances effects of GABA in the brain,Drowsiness, Addiction history,Benzodiazepines: additive effects,Avoid alcohol,Category D,Room temperature
50,Methotrexate,Methotrexate,Immunosuppressant,Rheumatoid Arthritis,Tablet,10 mg,Oral,Inhibits folic acid synthesis,Nausea, Fatigue,Severe liver or kidney impairment: avoid,Take with a full glass of water,Category X,Room temperature
51,Cetirizine,Cetirizine,Antihistamine,Allergies,Tablet,10 mg,Oral,Blocks histamine receptors,Drowsiness, Dry mouth,Do not operate heavy machinery,May cause drowsiness,Category B,Room temperature
52,Bromocriptine,Bromocriptine,Dopamine Agonist,Parkinson's Disease,Tablet,2.5 mg,Oral,Stimulates dopamine receptors,Nausea, Hallucinations,History of mental disorders: use with caution,Take with meals,Category B,Room temperature
53,Ethinyl Estradiol / Levonorgestrel,Ethinyl Estradiol / Levonorgestrel,Combined Oral Contraceptive,Contraception,Pill,0.03 mg / 0.15 mg,Oral,Inhibits ovulation,Nausea, Weight gain,Smokers: increased risk of cardiovascular events,Take at the same time each day,Category X,Room temperature
54,Gabapentin,Gabapentin,Anticonvulsant,Epilepsy,Capsule,300 mg,Oral,Increases GABA activity,Dizziness, Drowsiness,History of substance abuse: use with caution,May cause weight gain,Category C,Room temperature
55,Naproxen,Naproxen,NSAID,Pain and Inflammation,Tablet,250 mg,Oral,Inhibits prostaglandin synthesis,Stomach irritation, GI bleeding,Allergy to NSAIDs,Anticoagulants: increased bleeding risk,Category C,Room temperature
56,Carvedilol,Carvedilol,Beta Blocker,Hypertension,Tablet,25 mg,Oral,Blocks beta receptors,Low heart rate, Low blood pressure,Asthma: use with caution,Do not stop abruptly,Category C,Room temperature
57,Clopidogrel,Clopidogrel,Platelet Aggregation Inhibitor,Cardiovascular Disease,Tablet,75 mg,Oral,Inhibits platelet aggregation,Dizziness, Bleeding risk,Genetic variations: reduced effectiveness,Take with or without food,Category B,Room temperature
58,Ezetimibe / Simvastatin,Ezetimibe / Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,10 mg / 20 mg,Oral,Inhibits cholesterol absorption and synthesis,Muscle pain, Liver problems,Simvastatin: increased risk of side effects,Take in the evening,Category X,Room temperature
59,Fluticasone Propionate,Fluticasone Propionate,Corticosteroid,Asthma,Inhaler,50 mcg/inhalation,Inhalation,Reduces inflammation and bronchoconstriction,Hoarseness, Oral candidiasis,Rinse mouth after use,Use regularly for best results,Category C,Room temperature
60,Metronidazole,Metronidazole,Antibiotic,Bacterial Infections,Tablet,500 mg,Oral,Disrupts DNA and protein synthesis,Nausea, Metallic taste,Alcohol: severe reaction,Finish the full course of treatment,Category B,Room temperature
61,Duloxetine,Duloxetine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Capsule,30 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
62,Chlorthalidone,Chlorthalidone,Thiazide Diuretic,Hypertension,Tablet,25 mg,Oral,Increases urine output,Dehydration, Electrolyte imbalances,Kidney impairment: avoid,Take with food or milk,Category B,Room temperature
63,Cefuroxime,Cefuroxime,Cephalosporin,Bacterial Infections,Tablet,500 mg,Oral,Inhibits bacterial cell wall synthesis,Upset stomach, Allergic reactions,Allergy to cephalosporins,Probenecid: increased blood levels,Category B,Room temperature
64,Alendronate,Alendronate,Bisphosphonate,Osteoporosis,Tablet,70 mg,Oral,Inhibits bone resorption,Stomach irritation, Difficulty swallowing,Esophagus problems: remain upright after taking,Take on an empty stomach,Category C,Room temperature
65,Ranitidine,Ranitidine,H2 Blocker,Gastric Ulcers,Tablet,150 mg,Oral,Reduces stomach acid production,Headache, Constipation,Allergic reactions: avoid,Long-term use: increased risk of fractures,Category B,Room temperature
66,Levetiracetam,Levetiracetam,Anticonvulsant,Epilepsy,Tablet,500 mg,Oral,Precise mechanism not fully understood,Dizziness, Fatigue,Avoid abrupt discontinuation,May cause behavioral changes,Category C,Room temperature
67,Pioglitazone,Pioglitazone,Thiazolidinedione,Type 2 Diabetes,Tablet,30 mg,Oral,Improves insulin sensitivity,Fluid retention, Weight gain,Bladder cancer risk: use with caution,Take with or without food,Category C,Room temperature
68,Cyclobenzaprine,Cyclobenzaprine,Muscle Relaxant,Muscle Spasms,Tablet,10 mg,Oral,Reduces muscle spasms,Drowsiness, Dry mouth,Glaucoma: use with caution,May impair judgment,Category B,Room temperature
69,Levothyroxine,Levothyroxine,Thyroid Hormone,Hypothyroidism,Tablet,75 mcg,Oral,Replaces thyroid hormone,Tremor, Insomnia,Cardiovascular disease: use with caution,Take on an empty stomach,Category A,Room temperature
70,Quetiapine,Quetiapine,Atypical Antipsychotic,Schizophrenia,Tablet,100 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature
71,Paroxetine,Paroxetine,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,40 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category D,Room temperature
72,Allopurinol,Allopurinol,Xanthine Oxidase Inhibitor,Gout,Tablet,300 mg,Oral,Inhibits uric acid production,Rash, Liver problems,Kidney impairment: adjust dose,Take with plenty of water,Category C,Room temperature
73,Ethinyl Estradiol / Norgestimate,Ethinyl Estradiol / Norgestimate,Monophasic Oral Contraceptive,Contraception,Pill,0.035 mg / 0.25 mg,Oral,Inhibits ovulation,Nausea, Weight gain,Smokers: increased risk of cardiovascular events,Take at the same time each day,Category X,Room temperature
74,Valacyclovir,Valacyclovir,Antiviral,Herpes Infections,Tablet,500 mg,Oral,Inhibits viral DNA replication,Headache, Nausea,Kidney impairment: adjust dose,Stay well-hydrated,Category B,Room temperature
75,Clonazepam,Clonazepam,Benzodiazepine,Anxiety,Tablet,0.5 mg,Oral,Enhances effects of GABA in the brain,Drowsiness, Addiction history,Benzodiazepines: additive effects,Avoid alcohol,Category D,Room temperature
76,Memantine,Memantine,NMDA Receptor Antagonist,Alzheimer's Disease,Tablet,10 mg,Oral,Blocks NMDA receptors,Dizziness, Headache,Kidney impairment: adjust dose,Take at the same time each day,Category B,Room temperature
77,Insulin Glargine,Insulin Glargine,Long-acting Insulin,Diabetes,Multiple Dose Vial,100 units/mL,Subcutaneous,Regulates blood sugar,Injection site reactions, Hypoglycemia,Adjust dose as needed,Take as directed by healthcare provider,Category B,Room temperature
78,Potassium Chloride,Potassium Chloride,Electrolyte Supplement,Hypokalemia,Tablet,20 mEq,Oral,Supplements potassium levels,Upset stomach, Nausea,Kidney problems: use with caution,Take with food or immediately after a meal,Category C,Room temperature
79,Tamoxifen,Tamoxifen,Selective Estrogen Receptor Modulator,Breast Cancer,Tablet,20 mg,Oral,Blocks estrogen receptors,Hot flashes, Blood clots,Personal or family history of blood clots: use with caution,Take with meals,Category D,Room temperature
80,Latanoprost,Latanoprost,Prostaglandin Analog,Glaucoma,Eye Drops,0.01%,Ophthalmic,Lowers intraocular pressure,Stinging, Darkening of iris,Do not touch dropper tip to eye,Use in the evening,Category C,Room temperature
81,Ranitidine,Ranitidine,H2 Blocker,Gastric Ulcers,Tablet,300 mg,Oral,Reduces stomach acid production,Headache, Constipation,Allergic reactions: avoid,Long-term use: increased risk of fractures,Category B,Room temperature
82,Loratadine,Loratadine,Antihistamine,Allergies,Tablet,10 mg,Oral,Blocks histamine receptors,Drowsiness, Dry mouth,Do not operate heavy machinery,May cause drowsiness,Category B,Room temperature
83,Bimatoprost,Bimatoprost,Prostaglandin Analog,Glaucoma,Eye Drops,0.03%,Ophthalmic,Lowers intraocular pressure,Stinging, Darkening of iris,Do not touch dropper tip to eye,Use in the evening,Category C,Room temperature
84,Lamotrigine,Lamotrigine,Anticonvulsant,Epilepsy,Tablet,150 mg,Oral,Precise mechanism not fully understood,Dizziness, Fatigue,May cause serious skin reactions,May cause behavioral changes,Category C,Room temperature
85,Rosiglitazone,Rosiglitazone,Thiazolidinedione,Type 2 Diabetes,Tablet,4 mg,Oral,Improves insulin sensitivity,Fluid retention, Weight gain,Heart failure risk: use with caution,Take with or without food,Category C,Room temperature
86,Citalopram,Citalopram,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,20 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
87,Prednisone,Prednisone,Corticosteroid,Inflammatory Conditions,Tablet,10 mg,Oral,Suppresses immune response,Weight gain, Mood changes,Avoid alcohol and grapefruit,Take with food or milk,Category C,Room temperature
88,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Corticosteroid / Long-acting Beta Agonist,Asthma,Inhaler,100 mcg / 50 mcg per inhalation,Inhalation,Reduces inflammation and bronchoconstriction, Hoarseness, Oral candidiasis,Rinse mouth after use,Use regularly for best results,Category C,Room temperature
89,Simvastatin,Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,40 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature
90,Ciprofloxacin,Ciprofloxacin,Fluoroquinolone,Bacterial Infections,Tablet,500 mg,Oral,Inhibits bacterial DNA synthesis,Nausea, Diarrhea,Allergy to fluoroquinolones,Taking with dairy products: decreased absorption,Category C,Room temperature
91,Hydrochlorothiazide / Lisinopril,Hydrochlorothiazide / Lisinopril,Diuretic / ACE Inhibitor,Hypertension,Tablet,12.5 mg / 10 mg,Oral,Increases urine output / Inhibits angiotensin-converting enzyme,Cough, Low blood pressure,Kidney problems: use with caution,Take with food or milk,Category D,Room temperature
92,Ondansetron,Ondansetron,Antiemetic,Nausea and Vomiting,Tablet,8 mg,Oral,Blocks serotonin receptors,Drowsiness, Constipation,Long QT syndrome: use with caution,Take as directed by healthcare provider,Category B,Room temperature
93,Amiodarone,Amiodarone,Antiarrhythmic,Arrhythmias,Tablet,200 mg,Oral,Prolongs action potential duration,Photosensitivity, Lung problems,Heart problems: use with caution,Take with meals,Category D,Room temperature
94,Drospirenone / Ethinyl Estradiol,Drospirenone / Ethinyl Estradiol,Combined Oral Contraceptive,Contraception,Pill,3 mg / 0.03 mg,Oral,Inhibits ovulation,Nausea, Weight gain,Smokers: increased risk of cardiovascular events,Take at the same time each day,Category X,Room temperature
95,Warfarin,Warfarin,Anticoagulant,Blood Clots,Tablet,5 mg,Oral,Inhibits vitamin K-dependent clotting factors,Bleeding risk, Interactions with many drugs,Regular monitoring of INR required,Do not change diet drastically,Category X,Room temperature
96,Propranolol,Propranolol,Beta Blocker,Hypertension,Tablet,40 mg,Oral,Blocks beta receptors,Low heart rate, Low blood pressure,Asthma: use with caution,Do not stop abruptly,Category C,Room temperature
97,Mirtazapine,Mirtazapine,Atypical Antidepressant,Depression,Tablet,15 mg,Oral,Enhances noradrenergic and serotonergic activity,Drowsiness, Increased appetite,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
98,Fluoxetine,Fluoxetine,Selective Serotonin Reuptake Inhibitor,Depression,Capsule,20 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
99,Hydrochlorothiazide,Hydrochlorothiazide,Thiazide Diuretic,Hypertension,Tablet,25 mg,Oral,Increases urine output,Dehydration, Electrolyte imbalances,Kidney impairment: avoid,Take with food or milk,Category B,Room temperature
100,Olanzapine,Olanzapine,Atypical Antipsychotic,Schizophrenia,Tablet,10 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature
101,Levothyroxine,Levothyroxine,Thyroid Hormone,Hypothyroidism,Tablet,100 mcg,Oral,Replaces thyroid hormone,Tremor, Insomnia,Cardiovascular disease: use with caution,Take on an empty stomach,Category A,Room temperature
102,Quetiapine,Quetiapine,Atypical Antipsychotic,Schizophrenia,Tablet,200 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature
103,Prednisone,Prednisone,Corticosteroid,Inflammatory Conditions,Tablet,20 mg,Oral,Suppresses immune response,Weight gain, Mood changes,Avoid alcohol and grapefruit,Take with food or milk,Category C,Room temperature
104,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Corticosteroid / Long-acting Beta Agonist,Asthma,Inhaler,250 mcg / 50 mcg per inhalation,Inhalation,Reduces inflammation and bronchoconstriction, Hoarseness, Oral candidiasis,Rinse mouth after use,Use regularly for best results,Category C,Room temperature
105,Simvastatin,Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,80 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature
106,Ciprofloxacin,Ciprofloxacin,Fluoroquinolone,Bacterial Infections,Tablet,750 mg,Oral,Inhibits bacterial DNA synthesis,Nausea, Diarrhea,Allergy to fluoroquinolones,Taking with dairy products: decreased absorption,Category C,Room temperature
107,Hydrochlorothiazide / Lisinopril,Hydrochlorothiazide / Lisinopril,Diuretic / ACE Inhibitor,Hypertension,Tablet,25 mg / 20 mg,Oral,Increases urine output / Inhibits angiotensin-converting enzyme,Cough, Low blood pressure,Kidney problems: use with caution,Take with food or milk,Category D,Room temperature
108,Ondansetron,Ondansetron,Antiemetic,Nausea and Vomiting,Tablet,4 mg,Oral,Blocks serotonin receptors,Drowsiness, Constipation,Long QT syndrome: use with caution,Take as directed by healthcare provider,Category B,Room temperature
109,Amiodarone,Amiodarone,Antiarrhythmic,Arrhythmias,Tablet,400 mg,Oral,Prolongs action potential duration,Photosensitivity, Lung problems,Heart problems: use with caution,Take with meals,Category D,Room temperature
