Drug ID,Drug Name,Generic Name,Drug Class,Indications,Dosage Form,Strength,Route of Administration,Mechanism of Action,Side Effects,Contraindications,Interactions,Warnings and Precautions,Pregnancy Category,Storage Conditions
110,Drospirenone / Ethinyl Estradiol,Drospirenone / Ethinyl Estradiol,Combined Oral Contraceptive,Contraception,Pill,3 mg / 0.02 mg,Oral,Inhibits ovulation,Nausea, Weight gain,Smokers: increased risk of cardiovascular events,Take at the same time each day,Category X,Room temperature
111,Warfarin,Warfarin,Anticoagulant,Blood Clots,Tablet,7.5 mg,Oral,Inhibits vitamin K-dependent clotting factors,Bleeding risk, Interactions with many drugs,Regular monitoring of INR required,Do not change diet drastically,Category X,Room temperature
112,Propranolol,Propranolol,Beta Blocker,Hypertension,Tablet,60 mg,Oral,Blocks beta receptors,Low heart rate, Low blood pressure,Asthma: use with caution,Do not stop abruptly,Category C,Room temperature
113,Mirtazapine,Mirtazapine,Atypical Antidepressant,Depression,Tablet,30 mg,Oral,Enhances noradrenergic and serotonergic activity,Drowsiness, Increased appetite,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
114,Fluoxetine,Fluoxetine,Selective Serotonin Reuptake Inhibitor,Depression,Capsule,40 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
115,Hydrochlorothiazide,Hydrochlorothiazide,Thiazide Diuretic,Hypertension,Tablet,50 mg,Oral,Increases urine output,Dehydration, Electrolyte imbalances,Kidney impairment: avoid,Take with food or milk,Category B,Room temperature
116,Olanzapine,Olanzapine,Atypical Antipsychotic,Schizophrenia,Tablet,20 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature
117,Levothyroxine,Levothyroxine,Thyroid Hormone,Hypothyroidism,Tablet,125 mcg,Oral,Replaces thyroid hormone,Tremor, Insomnia,Cardiovascular disease: use with caution,Take on an empty stomach,Category A,Room temperature
118,Quetiapine,Quetiapine,Atypical Antipsychotic,Schizophrenia,Tablet,300 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature
119,Prednisone,Prednisone,Corticosteroid,Inflammatory Conditions,Tablet,40 mg,Oral,Suppresses immune response,Weight gain, Mood changes,Avoid alcohol and grapefruit,Take with food or milk,Category C,Room temperature
120,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Corticosteroid / Long-acting Beta Agonist,Asthma,Inhaler,500 mcg / 50 mcg per inhalation,Inhalation,Reduces inflammation and bronchoconstriction, Hoarseness, Oral candidiasis,Rinse mouth after use,Use regularly for best results,Category C,Room temperature
121,Simvastatin,Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,10 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature
122,Amoxicillin / Clavulanate,Amoxicillin / Clavulanate,Combination Antibiotic,Bacterial Infections,Tablet,875 mg / 125 mg,Oral,Inhibits bacterial cell wall synthesis,Nausea, Diarrhea,Allergic reactions: use with caution,Take with food to reduce stomach upset,Category B,Room temperature
123,Lisinopril,Lisinopril,Antihypertensive,Hypertension,Tablet,20 mg,Oral,Blocks conversion of angiotensin I to angiotensin II,Cough, Kidney problems,Diuretics: increased risk of kidney problems,Monitor kidney function regularly,Category D,Room temperature
124,Albuterol,Albuterol,Bronchodilator,Asthma,Inhaler,200 mcg per inhalation,Inhalation,Stimulates beta-2 adrenergic receptors,Tremor, Rapid heart rate,Beta-blockers: decreased effectiveness,Use as needed for acute asthma symptoms,Category C,Room temperature
125,Omeprazole,Omeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,40 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature
126,Atenolol,Atenolol,Beta Blocker,Hypertension,Tablet,50 mg,Oral,Blocks beta receptors,Low heart rate, Low blood pressure,Asthma: use with caution,Do not stop abruptly,Category D,Room temperature
127,Citalopram,Citalopram,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,10 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
128,Esomeprazole,Esomeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,20 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature
129,Losartan,Losartan,Angiotensin II Receptor Blocker,Hypertension,Tablet,100 mg,Oral,Blocks angiotensin II receptors,Cough, Low blood pressure,Potassium supplements: use with caution,Take with or without food,Category D,Room temperature
130,Venlafaxine,Venlafaxine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Tablet,75 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
131,Ranitidine,Ranitidine,H2 Blocker,Gastric Ulcers,Tablet,150 mg,Oral,Reduces stomach acid production,Headache, Constipation,Allergic reactions: avoid,Long-term use: increased risk of fractures,Category B,Room temperature
132,Loratadine,Loratadine,Antihistamine,Allergies,Tablet,5 mg,Oral,Blocks histamine receptors,Drowsiness (less common), Dry mouth,Use as needed for allergy symptoms,May cause drowsiness: use caution while driving,Category B,Room temperature
133,Carvedilol,Carvedilol,Alpha-Beta Blocker,Hypertension,Tablet,25 mg,Oral,Blocks alpha and beta receptors,Dizziness, Low blood pressure,COPD: use with caution,Take with food,Category C,Room temperature
134,Sertraline,Sertraline,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,50 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
135,Duloxetine,Duloxetine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Tablet,30 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
136,Bupropion,Bupropion,Atypical Antidepressant,Depression,Tablet,150 mg,Oral,Increases norepinephrine and dopamine,Insomnia, Weight loss,Seizure disorder: use with caution,Do not take at bedtime,Category C,Room temperature
137,Lovastatin,Lovastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,20 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature
138,Clonazepam,Clonazepam,Benzodiazepine,Anxiety,Tablet,1 mg,Oral,Enhances GABA activity,Drowsiness, Dizziness,Avoid alcohol and other sedatives,Do not stop abruptly,Category D,Room temperature
139,Paroxetine,Paroxetine,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,20 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category D,Room temperature
140,Hydrochlorothiazide,Hydrochlorothiazide,Thiazide Diuretic,Hypertension,Tablet,12.5 mg,Oral,Increases urine output,Dehydration, Electrolyte imbalances,Kidney impairment: avoid,Take with food or milk,Category B,Room temperature
141,Olanzapine,Olanzapine,Atypical Antipsychotic,Schizophrenia,Tablet,15 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature
142,Levothyroxine,Levothyroxine,Thyroid Hormone,Hypothyroidism,Tablet,150 mcg,Oral,Replaces thyroid hormone,Tremor, Insomnia,Cardiovascular disease: use with caution,Take on an empty stomach,Category A,Room temperature
143,Quetiapine,Quetiapine,Atypical Antipsychotic,Schizophrenia,Tablet,100 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature
144,Prednisone,Prednisone,Corticosteroid,Inflammatory Conditions,Tablet,10 mg,Oral,Suppresses immune response,Weight gain, Mood changes,Avoid alcohol and grapefruit,Take with food or milk,Category C,Room temperature
145,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Corticosteroid / Long-acting Beta Agonist,Asthma,Inhaler,250 mcg / 25 mcg per inhalation,Inhalation,Reduces inflammation and bronchoconstriction, Hoarseness, Oral candidiasis,Rinse mouth after use,Use regularly for best results,Category C,Room temperature
146,Simvastatin,Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,40 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature
147,Amoxicillin,Amoxicillin,Antibiotic,Bacterial Infections,Capsule,250 mg,Oral,Inhibits bacterial cell wall synthesis,Nausea, Allergic reactions,Penicillin: reduced efficacy,Take with food to reduce stomach upset,Category B,Room temperature
148,Lisinopril,Lisinopril,Antihypertensive,Hypertension,Tablet,5 mg,Oral,Blocks conversion of angiotensin I to angiotensin II,Cough, Kidney problems,Diuretics: increased risk of kidney problems,Monitor kidney function regularly,Category D,Room temperature
149,Albuterol,Albuterol,Bronchodilator,Asthma,Inhaler,90 mcg per inhalation,Inhalation,Stimulates beta-2 adrenergic receptors,Tremor, Rapid heart rate,Beta-blockers: decreased effectiveness,Use as needed for acute asthma symptoms,Category C,Room temperature
150,Omeprazole,Omeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,10 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature
151,Atenolol,Atenolol,Beta Blocker,Hypertension,Tablet,25 mg,Oral,Blocks beta receptors,Low heart rate, Low blood pressure,Asthma: use with caution,Do not stop abruptly,Category D,Room temperature
152,Citalopram,Citalopram,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,20 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
153,Esomeprazole,Esomeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,40 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature
154,Losartan,Losartan,Angiotensin II Receptor Blocker,Hypertension,Tablet,50 mg,Oral,Blocks angiotensin II receptors,Cough, Low blood pressure,Potassium supplements: use with caution,Take with or without food,Category D,Room temperature
155,Venlafaxine,Venlafaxine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Tablet,150 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
156,Ranitidine,Ranitidine,H2 Blocker,Gastric Ulcers,Tablet,75 mg,Oral,Reduces stomach acid production,Headache, Constipation,Allergic reactions: avoid,Long-term use: increased risk of fractures,Category B,Room temperature
157,Loratadine,Loratadine,Antihistamine,Allergies,Tablet,10 mg,Oral,Blocks histamine receptors,Drowsiness (less common), Dry mouth,Use as needed for allergy symptoms,May cause drowsiness: use caution while driving,Category B,Room temperature
158,Carvedilol,Carvedilol,Alpha-Beta Blocker,Hypertension,Tablet,12.5 mg,Oral,Blocks alpha and beta receptors,Dizziness, Low blood pressure,COPD: use with caution,Take with food,Category C,Room temperature
159,Sertraline,Sertraline,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,100 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
160,Duloxetine,Duloxetine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Tablet,60 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
161,Bupropion,Bupropion,Atypical Antidepressant,Depression,Tablet,300 mg,Oral,Increases norepinephrine and dopamine,Insomnia, Weight loss,Seizure disorder: use with caution,Do not take at bedtime,Category C,Room temperature
162,Lovastatin,Lovastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,40 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature
163,Clonazepam,Clonazepam,Benzodiazepine,Anxiety,Tablet,2 mg,Oral,Enhances GABA activity,Drowsiness, Dizziness,Avoid alcohol and other sedatives,Do not stop abruptly,Category D,Room temperature
164,Paroxetine,Paroxetine,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,40 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category D,Room temperature
165,Hydrochlorothiazide,Hydrochlorothiazide,Thiazide Diuretic,Hypertension,Tablet,25 mg,Oral,Increases urine output,Dehydration, Electrolyte imbalances,Kidney impairment: avoid,Take with food or milk,Category B,Room temperature
166,Olanzapine,Olanzapine,Atypical Antipsychotic,Schizophrenia,Tablet,10 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature
167,Levothyroxine,Levothyroxine,Thyroid Hormone,Hypothyroidism,Tablet,75 mcg,Oral,Replaces thyroid hormone,Tremor, Insomnia,Cardiovascular disease: use with caution,Take on an empty stomach,Category A,Room temperature
168,Quetiapine,Quetiapine,Atypical Antipsychotic,Schizophrenia,Tablet,50 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature
169,Prednisone,Prednisone,Corticosteroid,Inflammatory Conditions,Tablet,5 mg,Oral,Suppresses immune response,Weight gain, Mood changes,Avoid alcohol and grapefruit,Take with food or milk,Category C,Room temperature
170,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Corticosteroid / Long-acting Beta Agonist,Asthma,Inhaler,100 mcg / 10 mcg per inhalation,Inhalation,Reduces inflammation and bronchoconstriction, Hoarseness, Oral candidiasis,Rinse mouth after use,Use regularly for best results,Category C,Room temperature
171,Simvastatin,Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,80 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature
172,Amoxicillin,Amoxicillin,Antibiotic,Bacterial Infections,Capsule,125 mg,Oral,Inhibits bacterial cell wall synthesis,Nausea, Allergic reactions,Penicillin: reduced efficacy,Take with food to reduce stomach upset,Category B,Room temperature
173,Lisinopril,Lisinopril,Antihypertensive,Hypertension,Tablet,2.5 mg,Oral,Blocks conversion of angiotensin I to angiotensin II,Cough, Kidney problems,Diuretics: increased risk of kidney problems,Monitor kidney function regularly,Category D,Room temperature
174,Albuterol,Albuterol,Bronchodilator,Asthma,Inhaler,90 mcg per inhalation,Inhalation,Stimulates beta-2 adrenergic receptors,Tremor, Rapid heart rate,Beta-blockers: decreased effectiveness,Use as needed for acute asthma symptoms,Category C,Room temperature
175,Omeprazole,Omeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,20 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature
176,Atenolol,Atenolol,Beta Blocker,Hypertension,Tablet,100 mg,Oral,Blocks beta receptors,Low heart rate, Low blood pressure,Asthma: use with caution,Do not stop abruptly,Category D,Room temperature
177,Citalopram,Citalopram,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,40 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
178,Esomeprazole,Esomeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,40 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature
179,Losartan,Losartan,Angiotensin II Receptor Blocker,Hypertension,Tablet,25 mg,Oral,Blocks angiotensin II receptors,Cough, Low blood pressure,Potassium supplements: use with caution,Take with or without food,Category D,Room temperature
180,Venlafaxine,Venlafaxine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Tablet,75 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
181,Ranitidine,Ranitidine,H2 Blocker,Gastric Ulcers,Tablet,150 mg,Oral,Reduces stomach acid production,Headache, Constipation,Allergic reactions: avoid,Long-term use: increased risk of fractures,Category B,Room temperature
182,Loratadine,Loratadine,Antihistamine,Allergies,Tablet,10 mg,Oral,Blocks histamine receptors,Drowsiness (less common), Dry mouth,Use as needed for allergy symptoms,May cause drowsiness: use caution while driving,Category B,Room temperature
183,Carvedilol,Carvedilol,Alpha-Beta Blocker,Hypertension,Tablet,6.25 mg,Oral,Blocks alpha and beta receptors,Dizziness, Low blood pressure,COPD: use with caution,Take with food,Category C,Room temperature
184,Sertraline,Sertraline,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,150 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
185,Duloxetine,Duloxetine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Tablet,90 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
186,Bupropion,Bupropion,Atypical Antidepressant,Depression,Tablet,450 mg,Oral,Increases norepinephrine and dopamine,Insomnia, Weight loss,Seizure disorder: use with caution,Do not take at bedtime,Category C,Room temperature
187,Lovastatin,Lovastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,60 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature
188,Clonazepam,Clonazepam,Benzodiazepine,Anxiety,Tablet,2 mg,Oral,Enhances GABA activity,Drowsiness, Dizziness,Avoid alcohol and other sedatives,Do not stop abruptly,Category D,Room temperature
189,Paroxetine,Paroxetine,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,60 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category D,Room temperature
190,Hydrochlorothiazide,Hydrochlorothiazide,Thiazide Diuretic,Hypertension,Tablet,50 mg,Oral,Increases urine output,Dehydration, Electrolyte imbalances,Kidney impairment: avoid,Take with food or milk,Category B,Room temperature
191,Olanzapine,Olanzapine,Atypical Antipsychotic,Schizophrenia,Tablet,20 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature
192,Levothyroxine,Levothyroxine,Thyroid Hormone,Hypothyroidism,Tablet,100 mcg,Oral,Replaces thyroid hormone,Tremor, Insomnia,Cardiovascular disease: use with caution,Take on an empty stomach,Category A,Room temperature
193,Quetiapine,Quetiapine,Atypical Antipsychotic,Schizophrenia,Tablet,25 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature
194,Prednisone,Prednisone,Corticosteroid,Inflammatory Conditions,Tablet,2.5 mg,Oral,Suppresses immune response,Weight gain, Mood changes,Avoid alcohol and grapefruit,Take with food or milk,Category C,Room temperature
195,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Corticosteroid / Long-acting Beta Agonist,Asthma,Inhaler,50 mcg / 5 mcg per inhalation,Inhalation,Reduces inflammation and bronchoconstriction, Hoarseness, Oral candidiasis,Rinse mouth after use,Use regularly for best results,Category C,Room temperature
196,Simvastatin,Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,20 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature
197,Amoxicillin,Amoxicillin,Antibiotic,Bacterial Infections,Capsule,500 mg,Oral,Inhibits bacterial cell wall synthesis,Nausea, Allergic reactions,Penicillin: reduced efficacy,Take with food to reduce stomach upset,Category B,Room temperature
198,Lisinopril,Lisinopril,Antihypertensive,Hypertension,Tablet,10 mg,Oral,Blocks conversion of angiotensin I to angiotensin II,Cough, Kidney problems,Diuretics: increased risk of kidney problems,Monitor kidney function regularly,Category D,Room temperature
199,Albuterol,Albuterol,Bronchodilator,Asthma,Inhaler,180 mcg per inhalation,Inhalation,Stimulates beta-2 adrenergic receptors,Tremor, Rapid heart rate,Beta-blockers: decreased effectiveness,Use as needed for acute asthma symptoms,Category C,Room temperature
200,Omeprazole,Omeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,40 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature
201,Levothyroxine,Levothyroxine,Thyroid Hormone,Hypothyroidism,Tablet,125 mcg,Oral,Replaces thyroid hormone,Tremor, Insomnia,Cardiovascular disease: use with caution,Take on an empty stomach,Category A,Room temperature
202,Quetiapine,Quetiapine,Atypical Antipsychotic,Schizophrenia,Tablet,100 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature
203,Prednisone,Prednisone,Corticosteroid,Inflammatory Conditions,Tablet,10 mg,Oral,Suppresses immune response,Weight gain, Mood changes,Avoid alcohol and grapefruit,Take with food or milk,Category C,Room temperature
204,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Corticosteroid / Long-acting Beta Agonist,Asthma,Inhaler,200 mcg / 20 mcg per inhalation,Inhalation,Reduces inflammation and bronchoconstriction, Hoarseness, Oral candidiasis,Rinse mouth after use,Use regularly for best results,Category C,Room temperature
205,Simvastatin,Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,40 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature
206,Amoxicillin,Amoxicillin,Antibiotic,Bacterial Infections,Capsule,250 mg,Oral,Inhibits bacterial cell wall synthesis,Nausea, Allergic reactions,Penicillin: reduced efficacy,Take with food to reduce stomach upset,Category B,Room temperature
207,Lisinopril,Lisinopril,Antihypertensive,Hypertension,Tablet,5 mg,Oral,Blocks conversion of angiotensin I to angiotensin II,Cough, Kidney problems,Diuretics: increased risk of kidney problems,Monitor kidney function regularly,Category D,Room temperature
208,Albuterol,Albuterol,Bronchodilator,Asthma,Inhaler,180 mcg per inhalation,Inhalation,Stimulates beta-2 adrenergic receptors,Tremor, Rapid heart rate,Beta-blockers: decreased effectiveness,Use as needed for acute asthma symptoms,Category C,Room temperature
209,Omeprazole,Omeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,20 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature
210,Atenolol,Atenolol,Beta Blocker,Hypertension,Tablet,50 mg,Oral,Blocks beta receptors,Low heart rate, Low blood pressure,Asthma: use with caution,Do not stop abruptly,Category D,Room temperature
211,Citalopram,Citalopram,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,20 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
212,Esomeprazole,Esomeprazole,Proton Pump Inhibitor,Acid Reflux,Capsule,40 mg,Oral,Reduces stomach acid production,Headache, Abdominal pain,Clopidogrel: reduced effectiveness,Take before a meal,Category C,Room temperature
213,Losartan,Losartan,Angiotensin II Receptor Blocker,Hypertension,Tablet,100 mg,Oral,Blocks angiotensin II receptors,Cough, Low blood pressure,Potassium supplements: use with caution,Take with or without food,Category D,Room temperature
214,Venlafaxine,Venlafaxine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Tablet,75 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
215,Ranitidine,Ranitidine,H2 Blocker,Gastric Ulcers,Tablet,75 mg,Oral,Reduces stomach acid production,Headache, Constipation,Allergic reactions: avoid,Long-term use: increased risk of fractures,Category B,Room temperature
216,Loratadine,Loratadine,Antihistamine,Allergies,Tablet,10 mg,Oral,Blocks histamine receptors,Drowsiness (less common), Dry mouth,Use as needed for allergy symptoms,May cause drowsiness: use caution while driving,Category B,Room temperature
217,Carvedilol,Carvedilol,Alpha-Beta Blocker,Hypertension,Tablet,12.5 mg,Oral,Blocks alpha and beta receptors,Dizziness, Low blood pressure,COPD: use with caution,Take with food,Category C,Room temperature
218,Sertraline,Sertraline,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,100 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
219,Duloxetine,Duloxetine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Tablet,60 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature
220,Bupropion,Bupropion,Atypical Antidepressant,Depression,Tablet,300 mg,Oral,Increases norepinephrine and dopamine,Insomnia, Weight loss,Seizure disorder: use with caution,Do not take at bedtime,Category C,Room temperature
